,recipe,amt,measure,ingredient
0,black bean tacos,30.0,fl oz,black beans
1,black bean tacos,2.0,tbsp,olive oil
2,black bean tacos,1.0,tsp,cumin
3,black bean tacos,2.0,clove,garlic
