,recipe,amt,measure,ingredient
0,jackfruit tacos,40.0,fl oz,green jackfruit
1,jackfruit tacos,1.0,tbsp,oil
2,jackfruit tacos,1.0,medium,onion
3,jackfruit tacos,4.0,clove,garlic
4,jackfruit tacos,1.0,tbsp,agave
5,jackfruit tacos,5.0,tsp,lime juice
6,jackfruit tacos,2.0,tsp,chili powder
7,jackfruit tacos,1.0,tsp,cumin
8,jackfruit tacos,1.0,tsp,paprika
