,recipe,amt,measure,ingredient
0,pesto pasta,1.0,pkg,pasta
1,pesto pasta,2.0,tbsp,olive oil
2,pesto pasta,0.5,cup,onion
3,pesto pasta,2.5,tbsp,pesto
4,pesto pasta,2.0,tbsp,parmesan cheese
